Execution Number,FB Name,LoopTo,SubApp Name,Start Time (nanosec),End Time (nanosec),Execution Time (EndTime - StartTime)
1,permit,10,Ex7a,1566164862600,1566480308200,315445600
2,permit,10,Ex7a,1566480454400,1566673826800,193372400
3,permit,10,Ex7a,1566673915200,1566827644100,153728900
4,permit,10,Ex7a,1566827735700,1566973364600,145628900
5,permit,10,Ex7a,1566973454900,1567111732800,138277900
6,permit,10,Ex7a,1567111818000,1567247365000,135547000
7,permit,10,Ex7a,1567247474900,1567366118000,118643100
8,permit,10,Ex7a,1567366399600,1567481501100,115101500
9,permit,10,Ex7a,1567481587000,1567585261800,103674800
10,permit,10,Ex7a,1567585344600,1567681277100,95932500
11,permit,10,Ex7a,1567681371200,1567774212700,92841500
12,permit,10,Ex7a,1567774320000,1567868149200,93829200
13,permit,10,Ex7a,1567868252800,1567959709100,91456300
14,permit,10,Ex7a,1567959801100,1568051736200,91935100
15,permit,10,Ex7a,1568051821200,1568140098500,88277300
16,permit,10,Ex7a,1568140181200,1568222123900,81942700
17,permit,10,Ex7a,1568222200700,1568304644800,82444100
18,permit,10,Ex7a,1568304753900,1568394690000,89936100
19,permit,10,Ex7a,1568394793600,1568470941800,76148200
20,permit,10,Ex7a,1568471026600,1568547525700,76499100
21,permit,10,Ex7a,1568547612200,1568658641900,111029700
22,permit,10,Ex7a,1568658736100,1568736122800,77386700
23,permit,10,Ex7a,1568736213400,1568813476200,77262800
24,permit,10,Ex7a,1568813560900,1568884507100,70946200
25,permit,10,Ex7a,1568884595700,1568960445800,75850100
1,permit,1,Ex7a,1568960593500,1568977541300,16947800
2,permit,1,Ex7a,1568977687200,1568994196700,16509500
3,permit,1,Ex7a,1568994301200,1569011542100,17240900
4,permit,1,Ex7a,1569011670400,1569029284000,17613600
5,permit,1,Ex7a,1569029361300,1569045990600,16629300
6,permit,1,Ex7a,1569046080900,1569062442500,16361600
7,permit,1,Ex7a,1569062527000,1569077749300,15222300
8,permit,1,Ex7a,1569077828200,1569092442400,14614200
9,permit,1,Ex7a,1569092527600,1569105793300,13265700
10,permit,1,Ex7a,1569105867700,1569121122800,15255100
11,permit,1,Ex7a,1569121229100,1569137704000,16474900
12,permit,1,Ex7a,1569137804600,1569154912500,17107900
13,permit,1,Ex7a,1569155037600,1569171833800,16796200
14,permit,1,Ex7a,1569171915200,1569186919000,15003800
15,permit,1,Ex7a,1569187014700,1569203577300,16562600
16,permit,1,Ex7a,1569203686600,1569220299700,16613100
17,permit,1,Ex7a,1569220387200,1569237487700,17100500
18,permit,1,Ex7a,1569237610000,1569256900800,19290800
19,permit,1,Ex7a,1569256968700,1569274589600,17620900
20,permit,1,Ex7a,1569274653600,1569292089200,17435600
21,permit,1,Ex7a,1569292193400,1569308313700,16120300
22,permit,1,Ex7a,1569308402300,1569324490000,16087700
23,permit,1,Ex7a,1569324571500,1569341150300,16578800
24,permit,1,Ex7a,1569341229000,1569357589500,16360500
25,permit,1,Ex7a,1569357667100,1569373086500,15419400
1,permit,2,Ex7a,1569373190800,1569393964300,20773500
2,permit,2,Ex7a,1569394037400,1569412033600,17996200
3,permit,2,Ex7a,1569412104300,1569431409100,19304800
4,permit,2,Ex7a,1569431480400,1569452716400,21236000
5,permit,2,Ex7a,1569452837800,1569473513700,20675900
6,permit,2,Ex7a,1569473653400,1569493997700,20344300
7,permit,2,Ex7a,1569494068500,1569513125200,19056700
8,permit,2,Ex7a,1569513194300,1569530859000,17664700
9,permit,2,Ex7a,1569530926200,1569550538100,19611900
10,permit,2,Ex7a,1569550604500,1569569766900,19162400
11,permit,2,Ex7a,1569569835100,1569589211200,19376100
12,permit,2,Ex7a,1569589276400,1569608152600,18876200
13,permit,2,Ex7a,1569608220000,1569626320600,18100600
14,permit,2,Ex7a,1569626416900,1569647065000,20648100
15,permit,2,Ex7a,1569647136600,1569667355300,20218700
16,permit,2,Ex7a,1569667422700,1569685952000,18529300
17,permit,2,Ex7a,1569686021700,1569704870400,18848700
18,permit,2,Ex7a,1569704944700,1569724094800,19150100
19,permit,2,Ex7a,1569724164100,1569746180600,22016500
20,permit,2,Ex7a,1569746257200,1569768703800,22446600
21,permit,2,Ex7a,1569768781000,1569788775800,19994800
22,permit,2,Ex7a,1569788846400,1569810009100,21162700
23,permit,2,Ex7a,1569810095300,1569831077300,20982000
24,permit,2,Ex7a,1569831220100,1569852136600,20916500
25,permit,2,Ex7a,1569852315500,1569875392200,23076700
1,permit,5,Ex7a,1569875473500,1569916937000,41463500
2,permit,5,Ex7a,1569917007600,1569956342800,39335200
3,permit,5,Ex7a,1569956414700,1569995815300,39400600
4,permit,5,Ex7a,1569995883700,1570033933000,38049300
5,permit,5,Ex7a,1570034009400,1570071925300,37915900
6,permit,5,Ex7a,1570071999900,1570109017000,37017100
7,permit,5,Ex7a,1570109083500,1570145130600,36047100
8,permit,5,Ex7a,1570145280700,1570182917900,37637200
9,permit,5,Ex7a,1570182984900,1570219448000,36463100
10,permit,5,Ex7a,1570219537100,1570253036300,33499200
11,permit,5,Ex7a,1570253112800,1570290114300,37001500
12,permit,5,Ex7a,1570290179700,1570329834000,39654300
13,permit,5,Ex7a,1570329901000,1570368447200,38546200
14,permit,5,Ex7a,1570368521200,1570404588400,36067200
15,permit,5,Ex7a,1570404659900,1570443914500,39254600
16,permit,5,Ex7a,1570443982300,1570483415700,39433400
17,permit,5,Ex7a,1570483552200,1570518499900,34947700
18,permit,5,Ex7a,1570518581800,1570550847800,32266000
19,permit,5,Ex7a,1570550918300,1570587038500,36120200
20,permit,5,Ex7a,1570587109000,1570623529200,36420200
21,permit,5,Ex7a,1570623597300,1570662865800,39268500
22,permit,5,Ex7a,1570662932600,1570699548500,36615900
23,permit,5,Ex7a,1570699619200,1570733499100,33879900
24,permit,5,Ex7a,1570733574800,1570770127900,36553100
