Execution Number,FB Name,LoopTo,SubApp Name,Start Time (nanosec),End Time (nanosec),Execution Time (EndTime - StartTime)
1,permit,10,Ex7b,4077443008000,4077571351200,128343200
2,permit,10,Ex7b,4077571469000,4077677545200,106076200
3,permit,10,Ex7b,4077677637000,4077888481400,210844400
4,permit,10,Ex7b,4077888573500,4078116345200,227771700
5,permit,10,Ex7b,4078116514500,4078225230900,108716400
6,permit,10,Ex7b,4078225403500,4078331446900,106043400
7,permit,10,Ex7b,4078331570800,4078425775800,94205000
8,permit,10,Ex7b,4078426023100,4078515877700,89854600
9,permit,10,Ex7b,4078515970100,4078604095100,88125000
10,permit,10,Ex7b,4078604193000,4078697241900,93048900
11,permit,10,Ex7b,4078697364900,4078783840700,86475800
12,permit,10,Ex7b,4078783938900,4078864633600,80694700
13,permit,10,Ex7b,4078864743000,4078946934000,82191000
14,permit,10,Ex7b,4078947026400,4079038118700,91092300
15,permit,10,Ex7b,4079038226500,4079116015600,77789100
16,permit,10,Ex7b,4079116127000,4079195420200,79293200
17,permit,10,Ex7b,4079195571900,4079274245400,78673500
18,permit,10,Ex7b,4079274392700,4079356753300,82360600
19,permit,10,Ex7b,4079356842600,4079435587600,78745000
20,permit,10,Ex7b,4079435664000,4079512714800,77050800
21,permit,10,Ex7b,4079512791600,4079588284300,75492700
22,permit,10,Ex7b,4079588360800,4079666508900,78148100
23,permit,10,Ex7b,4079666586300,4079751409700,84823400
24,permit,10,Ex7b,4079751520800,4079828092500,76571700
25,permit,10,Ex7b,4079828187700,4079908026600,79838900
1,permit,1,Ex7b,4079908160600,4079926993500,18832900
2,permit,1,Ex7b,4079927198400,4079945714000,18515600
3,permit,1,Ex7b,4079945823700,4079965088600,19264900
4,permit,1,Ex7b,4079965183700,4079983932400,18748700
5,permit,1,Ex7b,4079984023900,4080001530800,17506900
6,permit,1,Ex7b,4080001623400,4080018922000,17298600
7,permit,1,Ex7b,4080019001300,4080037768300,18767000
8,permit,1,Ex7b,4080037907800,4080056452800,18545000
9,permit,1,Ex7b,4080056601300,4080074706600,18105300
10,permit,1,Ex7b,4080074795800,4080092709900,17914100
11,permit,1,Ex7b,4080092855500,4080111329400,18473900
12,permit,1,Ex7b,4080111430500,4080129980600,18550100
13,permit,1,Ex7b,4080130049600,4080147807400,17757800
14,permit,1,Ex7b,4080147891900,4080164767900,16876000
15,permit,1,Ex7b,4080164833600,4080182292900,17459300
16,permit,1,Ex7b,4080182367400,4080200331600,17964200
