Execution Number,FB Name,LoopTo,SubApp Name,Start Time (nanosec),End Time (nanosec),Execution Time (EndTime - StartTime)
1,permit,10,Ex7c,8455708820200,8455947586099,238765899
2,permit,10,Ex7c,8455947639300,8456111720999,164081699
3,permit,10,Ex7c,8456111772200,8456275089500,163317300
4,permit,10,Ex7c,8456275144800,8456443507800,168363000
5,permit,10,Ex7c,8456443567900,8456598387599,154819699
6,permit,10,Ex7c,8456598438800,8456754986000,156547200
7,permit,10,Ex7c,8456755037499,8456923379300,168341801
8,permit,10,Ex7c,8456923579500,8457085086600,161507100
9,permit,10,Ex7c,8457085138200,8457230163099,145024899
10,permit,10,Ex7c,8457230220199,8457395207500,164987301
11,permit,10,Ex7c,8457395261600,8457605595900,210334300
12,permit,10,Ex7c,8457605661199,8457766265400,160604201
13,permit,10,Ex7c,8457766317899,8457922892299,156574400
14,permit,10,Ex7c,8457922944000,8458128275999,205331999
15,permit,10,Ex7c,8458128402500,8458335876300,207473800
16,permit,10,Ex7c,8458336004900,8458517468800,181463900
17,permit,10,Ex7c,8458517554800,8458735142500,217587700
18,permit,10,Ex7c,8458735216900,8458880907200,145690300
19,permit,10,Ex7c,8458880971000,8459031637000,150666000
20,permit,10,Ex7c,8459031687900,8459196361400,164673500
21,permit,10,Ex7c,8459196413100,8459369629900,173216800
22,permit,10,Ex7c,8459369684400,8459537837800,168153400
23,permit,10,Ex7c,8459537891100,8459688174400,150283300
24,permit,10,Ex7c,8459688231300,8459846691700,158460400
25,permit,10,Ex7c,8459846748000,8460002079500,155331500
1,permit,1,Ex7c,8460002187000,8460060481799,58294799
2,permit,1,Ex7c,8460060550599,8460117758099,57207500
3,permit,1,Ex7c,8460117831500,8460179343500,61512000
4,permit,1,Ex7c,8460179406300,8460238056700,58650400
5,permit,1,Ex7c,8460238134200,8460297563399,59429199
6,permit,1,Ex7c,8460297628400,8460360892700,63264300
7,permit,1,Ex7c,8460360966200,8460503097800,142131600
8,permit,1,Ex7c,8460503154200,8460562913800,59759600
9,permit,1,Ex7c,8460562970400,8460619749500,56779100
10,permit,1,Ex7c,8460619823900,8460682570700,62746800
11,permit,1,Ex7c,8460682679500,8460746351700,63672200
12,permit,1,Ex7c,8460746418299,8460808628999,62210700
13,permit,1,Ex7c,8460808692700,8460872925199,64232499
14,permit,1,Ex7c,8460872999800,8460935989899,62990099
15,permit,1,Ex7c,8460936062100,8460997360400,61298300
16,permit,1,Ex7c,8460997436700,8461058983400,61546700
17,permit,1,Ex7c,8461059053700,8461120637800,61584100
18,permit,1,Ex7c,8461120704200,8461179842400,59138200
19,permit,1,Ex7c,8461179904299,8461240684400,60780101
20,permit,1,Ex7c,8461240777900,8461303939400,63161500
21,permit,1,Ex7c,8461304002600,8461366929199,62926599
22,permit,1,Ex7c,8461366996799,8461430248400,63251601
23,permit,1,Ex7c,8461430317900,8461485181300,54863400
24,permit,1,Ex7c,8461485243499,8461538349200,53105701
25,permit,1,Ex7c,8461538411600,8461598454299,60042699
1,permit,2,Ex7c,8461598536699,8461669601500,71064801
2,permit,2,Ex7c,8461669667800,8461743590500,73922700
3,permit,2,Ex7c,8461743647800,8461896000900,152353100
4,permit,2,Ex7c,8461896112400,8461972528000,76415600
5,permit,2,Ex7c,8461972629000,8462052775300,80146300
6,permit,2,Ex7c,8462052831999,8462129054200,76222201
7,permit,2,Ex7c,8462129116000,8462208591200,79475200
8,permit,2,Ex7c,8462208853000,8462285210000,76357000
9,permit,2,Ex7c,8462285270599,8462365754000,80483401
10,permit,2,Ex7c,8462365809200,8462430854400,65045200
11,permit,2,Ex7c,8462430905800,8462501469900,70564100
12,permit,2,Ex7c,8462501532200,8462571568100,70035900
13,permit,2,Ex7c,8462571629900,8462639920500,68290600
14,permit,2,Ex7c,8462640009999,8462709424400,69414401
15,permit,2,Ex7c,8462709475300,8462773259400,63784100
16,permit,2,Ex7c,8462773314100,8462845480300,72166200
17,permit,2,Ex7c,8462845561700,8462916011800,70450100
18,permit,2,Ex7c,8462916097800,8462980361600,64263800
19,permit,2,Ex7c,8462980410100,8463117719300,137309200
20,permit,2,Ex7c,8463117769400,8463181710000,63940600
21,permit,2,Ex7c,8463181847000,8463245835600,63988600
22,permit,2,Ex7c,8463245883800,8463309825500,63941700
23,permit,2,Ex7c,8463309907700,8463384126000,74218300
24,permit,2,Ex7c,8463384180100,8463455591800,71411700
25,permit,2,Ex7c,8463455646099,8463529562800,73916701
1,permit,5,Ex7c,8463529641700,8463639964300,110322600
2,permit,5,Ex7c,8463640015700,8463746939299,106923599
3,permit,5,Ex7c,8463746992099,8463855212700,108220601
4,permit,5,Ex7c,8463855267299,8463966286700,111019401
5,permit,5,Ex7c,8463966339799,8464067646000,101306201
6,permit,5,Ex7c,8464067708500,8464160793600,93085100
7,permit,5,Ex7c,8464160859600,8464256430100,95570500
8,permit,5,Ex7c,8464256581400,8464366476100,109894700
9,permit,5,Ex7c,8464366529700,8464476273900,109744200
10,permit,5,Ex7c,8464476331700,8464585992400,109660700
11,permit,5,Ex7c,8464586051200,8464691160099,105108899
12,permit,5,Ex7c,8464691217400,8464802201900,110984500
13,permit,5,Ex7c,8464802253200,8464910244400,107991200
14,permit,5,Ex7c,8464910314400,8465061434400,151120000
15,permit,5,Ex7c,8465061551700,8465174502899,112951199
16,permit,5,Ex7c,8465174560900,8465295724300,121163400
17,permit,5,Ex7c,8465295867600,8465410538200,114670600
18,permit,5,Ex7c,8465410598900,8465518960900,108362000
19,permit,5,Ex7c,8465519016400,8465620518899,101502499
20,permit,5,Ex7c,8465620569900,8465717640200,97070300
21,permit,5,Ex7c,8465717690199,8465814716999,97026800
22,permit,5,Ex7c,8465814764600,8465910689099,95924499
23,permit,5,Ex7c,8465910758399,8466008170400,97412001
24,permit,5,Ex7c,8466008236800,8466105028900,96792100
25,permit,5,Ex7c,8466105079700,8466200597400,95517700
1,permit,10,Ex7c,8466200710600,8466353799400,153088800
2,permit,10,Ex7c,8466353849900,8466545422900,191573000
3,permit,10,Ex7c,8466545471100,8466700956299,155485199
4,permit,10,Ex7c,8466701008700,8466847623700,146615000
5,permit,10,Ex7c,8466847674500,8466996711600,149037100
6,permit,10,Ex7c,8466996785600,8467146001200,149215600
7,permit,10,Ex7c,8467146046700,8467295610900,149564200
8,permit,10,Ex7c,8467295659400,8467445992400,150333000
9,permit,10,Ex7c,8467446044000,8467598903399,152859399
10,permit,10,Ex7c,8467598988800,8467754902299,155913499
11,permit,10,Ex7c,8467754951400,8467905019800,150068400
12,permit,10,Ex7c,8467905072300,8468154538100,249465800
13,permit,10,Ex7c,8468154654800,8468339768600,185113800
14,permit,10,Ex7c,8468339891899,8468514975900,175084001
15,permit,10,Ex7c,8468515027300,8468667876100,152848800
16,permit,10,Ex7c,8468667923300,8468815642400,147719100
17,permit,10,Ex7c,8468815697800,8468972358700,156660900
18,permit,10,Ex7c,8468972408699,8469122199900,149791201
19,permit,10,Ex7c,8469122288700,8469279116199,156827499
20,permit,10,Ex7c,8469279162400,8469480569400,201407000
21,permit,10,Ex7c,8469480615500,8469628245800,147630300
22,permit,10,Ex7c,8469628294900,8469780641699,152346799
23,permit,10,Ex7c,8469780691399,8469928420300,147728901
24,permit,10,Ex7c,8469928471499,8470076629600,148158101
25,permit,10,Ex7c,8470076683600,8470226683700,150000100
1,permit,20,Ex7c,8470226763400,8470482033599,255270199
2,permit,20,Ex7c,8470482080899,8470740896600,258815701
3,permit,20,Ex7c,8470740987200,8471068836099,327848899
4,permit,20,Ex7c,8471068960000,8471368557199,299597199
5,permit,20,Ex7c,8471368668800,8471652977300,284308500
6,permit,20,Ex7c,8471653031300,8471921295599,268264299
7,permit,20,Ex7c,8471921343599,8472194370600,273027001
8,permit,20,Ex7c,8472194426500,8472502080000,307653500
9,permit,20,Ex7c,8472502128599,8472762168900,260040301
10,permit,20,Ex7c,8472762220299,8473041912500,279692201
11,permit,20,Ex7c,8473041959300,8473297088699,255129399
12,permit,20,Ex7c,8473297175399,8473583841600,286666201
13,permit,20,Ex7c,8473583898100,8473845601600,261703500
14,permit,20,Ex7c,8473845651899,8474183749100,338097201
15,permit,20,Ex7c,8474183873800,8474495495300,311621500
16,permit,20,Ex7c,8474495615600,8474770058200,274442600
17,permit,20,Ex7c,8474770112599,8475037715799,267603200
18,permit,20,Ex7c,8475037764000,8475315093100,277329100
19,permit,20,Ex7c,8475315145799,8475626680100,311534301
20,permit,20,Ex7c,8475626725300,8475897788400,271063100
21,permit,20,Ex7c,8475897870999,8476176461300,278590301
22,permit,20,Ex7c,8476176520800,8476433411200,256890400
23,permit,20,Ex7c,8476433464199,8476714260500,280796301
24,permit,20,Ex7c,8476714321300,8476983627300,269306000
25,permit,20,Ex7c,8476983676200,8477318202799,334526599
1,permit,50,Ex7c,8477318343100,8477973251199,654908099
2,permit,50,Ex7c,8477973417800,8478635817799,662399999
3,permit,50,Ex7c,8478635879800,8479293265500,657385700
4,permit,50,Ex7c,8479293314200,8479901929700,608615500
5,permit,50,Ex7c,8479902014699,8480567853799,665839100
6,permit,50,Ex7c,8480567994200,8481190843900,622849700
7,permit,50,Ex7c,8481190947999,8481766740900,575792901
8,permit,50,Ex7c,8481766787099,8482425987400,659200301
9,permit,50,Ex7c,8482426036600,8483017975799,591939199
10,permit,50,Ex7c,8483018032000,8483707997400,689965400
11,permit,50,Ex7c,8483708114800,8484318014200,609899400
12,permit,50,Ex7c,8484318114600,8484939571499,621456899
13,permit,50,Ex7c,8484939616899,8485515700500,576083601
14,permit,50,Ex7c,8485515792700,8486094189199,578396499
15,permit,50,Ex7c,8486094239800,8486765976600,671736800
16,permit,50,Ex7c,8486766087600,8487399117600,633030000
17,permit,50,Ex7c,8487399169200,8488042271300,643102100
18,permit,50,Ex7c,8488042319900,8488643578900,601259000
19,permit,50,Ex7c,8488643628800,8489255271700,611642900
20,permit,50,Ex7c,8489255323500,8489958520000,703196500
21,permit,50,Ex7c,8489958634700,8490557803500,599168800
22,permit,50,Ex7c,8490557860800,8491204308799,646447999
23,permit,50,Ex7c,8491204406700,8491806822099,602415399
24,permit,50,Ex7c,8491806872499,8492411978599,605106100
25,permit,50,Ex7c,8492412035100,8493115508999,703473899
1,permit,100,Ex7c,8493115635800,8494298189100,1182553300
2,permit,100,Ex7c,8494298250300,8495526718100,1228467800
3,permit,100,Ex7c,8495526833500,8496730382000,1203548500
4,permit,100,Ex7c,8496730495300,8497850565999,1120070699
5,permit,100,Ex7c,8497850614999,8499129483200,1278868201
6,permit,100,Ex7c,8499129582400,8500244217400,1114635000
7,permit,100,Ex7c,8500244300700,8501494537700,1250237000
8,permit,100,Ex7c,8501494642000,8502661669900,1167027900
9,permit,100,Ex7c,8502661716799,8503908233900,1246517101
10,permit,100,Ex7c,8503908360300,8505114603500,1206243200
11,permit,100,Ex7c,8505114654200,8506296898299,1182244099
12,permit,100,Ex7c,8506296951099,8507556645200,1259694101
13,permit,100,Ex7c,8507556760199,8508759646400,1202886201
14,permit,100,Ex7c,8508759703600,8510069692600,1309989000
15,permit,100,Ex7c,8510069795199,8511241005100,1171209901
16,permit,100,Ex7c,8511241088500,8512442168899,1201080399
17,permit,100,Ex7c,8512442285100,8513691616399,1249331299
18,permit,100,Ex7c,8513691718399,8514879848000,1188129601
19,permit,100,Ex7c,8514879896200,8516161816500,1281920300
20,permit,100,Ex7c,8516161917500,8517288016300,1126098800
21,permit,100,Ex7c,8517288066499,8518503917300,1215850801
22,permit,100,Ex7c,8518504033100,8519687115600,1183082500
23,permit,100,Ex7c,8519687216700,8520941321599,1254104899
24,permit,100,Ex7c,8520941368600,8522210197900,1268829300
25,permit,100,Ex7c,8522210349600,8523407677699,1197328099
1,permit,200,Ex7c,8523407755500,8526017070300,2609314800
2,permit,200,Ex7c,8526017172100,8528382273900,2365101800
3,permit,200,Ex7c,8528382375400,8530728631000,2346255600
4,permit,200,Ex7c,8530728754000,8532973735000,2244981000
5,permit,200,Ex7c,8532973854300,8535342768500,2368914200
6,permit,200,Ex7c,8535342880500,8537765500300,2422619800
7,permit,200,Ex7c,8537765605200,8540281966099,2516360899
8,permit,200,Ex7c,8540282068500,8542710308100,2428239600
9,permit,200,Ex7c,8542710441100,8545202595400,2492154300
10,permit,200,Ex7c,8545202715400,8547611863000,2409147600
11,permit,200,Ex7c,8547611982500,8549976034900,2364052400
12,permit,200,Ex7c,8549976143200,8552364574600,2388431400
13,permit,200,Ex7c,8552364683199,8554793409800,2428726601
