Execution Number,FB Name,LoopTo,SubApp Name,Start Time (nanosec),End Time (nanosec),Execution Time (EndTime - StartTime)
1,permit,10,Ex7d,15297181505600,15297439763100,258257500
2,permit,10,Ex7d,15297439816900,15297709271000,269454100
3,permit,10,Ex7d,15297709319600,15297912766100,203446500
4,permit,10,Ex7d,15297912819500,15298134616600,221797100
5,permit,10,Ex7d,15298134669100,15298360178000,225508900
6,permit,10,Ex7d,15298360232600,15298561011700,200779100
7,permit,10,Ex7d,15298561062900,15298858109300,297046400
8,permit,10,Ex7d,15298858379100,15299097562600,239183500
9,permit,10,Ex7d,15299097613000,15299364389100,266776100
10,permit,10,Ex7d,15299364441500,15299890931800,526490300
11,permit,10,Ex7d,15299891031400,15300083880400,192849000
12,permit,10,Ex7d,15300083934100,15300301883100,217949000
13,permit,10,Ex7d,15300301936000,15300524359000,222423000
14,permit,10,Ex7d,15300524416500,15300783929400,259512900
15,permit,10,Ex7d,15300784045300,15301016468200,232422900
16,permit,10,Ex7d,15301016530900,15301262616700,246085800
17,permit,10,Ex7d,15301262782000,15301499915300,237133300
18,permit,10,Ex7d,15301499969900,15301722772800,222802900
19,permit,10,Ex7d,15301722829500,15301936684700,213855200
20,permit,10,Ex7d,15301936735400,15302136353600,199618200
21,permit,10,Ex7d,15302136405100,15302335571700,199166600
22,permit,10,Ex7d,15302335622300,15302536788400,201166100
23,permit,10,Ex7d,15302536838200,15302744980700,208142500
24,permit,10,Ex7d,15302745030800,15302967213000,222182200
25,permit,10,Ex7d,15302967265100,15303171611500,204346400
1,permit,1,Ex7d,15303171719900,15303248379600,76659700
2,permit,1,Ex7d,15303248457100,15303325689200,77232100
3,permit,1,Ex7d,15303325753900,15303471909000,146155100
4,permit,1,Ex7d,15303471977800,15303546037300,74059500
5,permit,1,Ex7d,15303546103900,15303620565300,74461400
6,permit,1,Ex7d,15303620635400,15303695842500,75207100
7,permit,1,Ex7d,15303695909700,15303772444200,76534500
8,permit,1,Ex7d,15303772507000,15303848811200,76304200
9,permit,1,Ex7d,15303848890800,15303929779100,80888300
10,permit,1,Ex7d,15303929867400,15304104965400,175098000
11,permit,1,Ex7d,15304105090800,15304441749500,336658700
12,permit,1,Ex7d,15304441905000,15304514675600,72770600
13,permit,1,Ex7d,15304514742200,15304586832100,72089900
14,permit,1,Ex7d,15304586896800,15304663487800,76591000
15,permit,1,Ex7d,15304663554500,15304743902400,80347900
16,permit,1,Ex7d,15304743970500,15304828050300,84079800
17,permit,1,Ex7d,15304828120300,15304906890100,78769800
18,permit,1,Ex7d,15304906965600,15305042074000,135108400
19,permit,1,Ex7d,15305042227400,15305125755000,83527600
20,permit,1,Ex7d,15305125815000,15305211283000,85468000
21,permit,1,Ex7d,15305211342400,15305301824800,90482400
22,permit,1,Ex7d,15305301901000,15305400858600,98957600
23,permit,1,Ex7d,15305401006900,15305492722400,91715500
24,permit,1,Ex7d,15305492808300,15305595293900,102485600
25,permit,1,Ex7d,15305595356400,15305678626900,83270500
1,permit,2,Ex7d,15305678722100,15305776697100,97975000
2,permit,2,Ex7d,15305776753800,15305874592900,97839100
3,permit,2,Ex7d,15305874679800,15305968414200,93734400
4,permit,2,Ex7d,15305968460600,15306053703600,85243000
5,permit,2,Ex7d,15306053749700,15306139442000,85692300
6,permit,2,Ex7d,15306139488400,15306224837900,85349500
7,permit,2,Ex7d,15306224884700,15306321190600,96305900
8,permit,2,Ex7d,15306321245800,15306420032200,98786400
9,permit,2,Ex7d,15306420091800,15306517918800,97827000
10,permit,2,Ex7d,15306517971000,15306615813800,97842800
11,permit,2,Ex7d,15306615865500,15306715112100,99246600
12,permit,2,Ex7d,15306715209400,15306817684200,102474800
13,permit,2,Ex7d,15306817731500,15306914114300,96382800
14,permit,2,Ex7d,15306914167200,15307012233300,98066100
15,permit,2,Ex7d,15307012285100,15307113911000,101625900
16,permit,2,Ex7d,15307113964900,15307201516300,87551400
17,permit,2,Ex7d,15307201562200,15307287848300,86286100
18,permit,2,Ex7d,15307287896000,15307373095600,85199600
19,permit,2,Ex7d,15307373143000,15307472816500,99673500
20,permit,2,Ex7d,15307472864300,15307570835000,97970700
21,permit,2,Ex7d,15307570916800,15307669479300,98562500
22,permit,2,Ex7d,15307669538400,15307768262200,98723800
23,permit,2,Ex7d,15307768313600,15307866373800,98060200
24,permit,2,Ex7d,15307866423700,15307963323200,96899500
25,permit,2,Ex7d,15307963377100,15308105006900,141629800
1,permit,5,Ex7d,15308105069700,15308232607200,127537500
2,permit,5,Ex7d,15308232660900,15308373473900,140813000
3,permit,5,Ex7d,15308373529700,15308511692900,138163200
4,permit,5,Ex7d,15308511756200,15308728132200,216376000
5,permit,5,Ex7d,15308728320000,15308910197500,181877500
6,permit,5,Ex7d,15308910248600,15309301193000,390944400
7,permit,5,Ex7d,15309301322800,15309425918200,124595400
8,permit,5,Ex7d,15309425969300,15309550199700,124230400
9,permit,5,Ex7d,15309550248300,15309688290100,138041800
10,permit,5,Ex7d,15309688340700,15309957229100,268888400
11,permit,5,Ex7d,15309957343400,15310106867100,149523700
12,permit,5,Ex7d,15310106928900,15310258479900,151551000
13,permit,5,Ex7d,15310258527300,15310420963000,162435700
14,permit,5,Ex7d,15310421124300,15310579994900,158870600
15,permit,5,Ex7d,15310580046900,15310727642800,147595900
16,permit,5,Ex7d,15310727694100,15310874675000,146980900
17,permit,5,Ex7d,15310874729900,15311021657000,146927100
18,permit,5,Ex7d,15311021703700,15311165118700,143415000
19,permit,5,Ex7d,15311165171400,15311311306500,146135100
20,permit,5,Ex7d,15311311357200,15311458163800,146806600
21,permit,5,Ex7d,15311458216500,15311609769900,151553400
22,permit,5,Ex7d,15311609858500,15311760446500,150588000
23,permit,5,Ex7d,15311760498900,15311909920300,149421400
24,permit,5,Ex7d,15311909974000,15312052701900,142727900
25,permit,5,Ex7d,15312052753900,15312202969000,150215100
1,permit,10,Ex7d,15312203053400,15312397591300,194537900
2,permit,10,Ex7d,15312397639700,15312610847500,213207800
3,permit,10,Ex7d,15312610900500,15312911780100,300879600
4,permit,10,Ex7d,15312911828300,15313126111300,214283000
5,permit,10,Ex7d,15313126164500,15313349381500,223217000
6,permit,10,Ex7d,15313349465400,15313574375100,224909700
7,permit,10,Ex7d,15313574429100,15313847011500,272582400
8,permit,10,Ex7d,15313847128100,15314358854700,511726600
9,permit,10,Ex7d,15314358954900,15314550155800,191200900
10,permit,10,Ex7d,15314550205500,15314767381900,217176400
11,permit,10,Ex7d,15314767433400,15315056279000,288845600
12,permit,10,Ex7d,15315056396800,15315287757600,231360800
13,permit,10,Ex7d,15315287813000,15315533015700,245202700
14,permit,10,Ex7d,15315533134700,15315766567000,233432300
15,permit,10,Ex7d,15315766664600,15315990621800,223957200
16,permit,10,Ex7d,15315990675200,15316220225000,229549800
17,permit,10,Ex7d,15316220277100,15316432893200,212616100
18,permit,10,Ex7d,15316432941400,15316635495700,202554300
19,permit,10,Ex7d,15316635549700,15316845232500,209682800
20,permit,10,Ex7d,15316845283800,15317052073900,206790100
21,permit,10,Ex7d,15317052119800,15317252144700,200024900
22,permit,10,Ex7d,15317252193900,15317451467300,199273400
23,permit,10,Ex7d,15317451515100,15317770617400,319102300
24,permit,10,Ex7d,15317770694200,15317962833900,192139700
25,permit,10,Ex7d,15317962883600,15318163038700,200155100
1,permit,20,Ex7d,15318163124500,15318501971600,338847100
2,permit,20,Ex7d,15318502051400,15318982193600,480142200
3,permit,20,Ex7d,15318982340200,15319461002600,478662400
4,permit,20,Ex7d,15319461139300,15319785972000,324832700
5,permit,20,Ex7d,15319786022600,15320121208600,335186000
6,permit,20,Ex7d,15320121259000,15320457259000,336000000
7,permit,20,Ex7d,15320457360300,15320795704300,338344000
8,permit,20,Ex7d,15320795752700,15321134206300,338453600
9,permit,20,Ex7d,15321134254200,15321600819100,466564900
10,permit,20,Ex7d,15321600867400,15321941253300,340385900
11,permit,20,Ex7d,15321941300900,15322639892000,698591100
12,permit,20,Ex7d,15322640004800,15323047358300,407353500
13,permit,20,Ex7d,15323047473800,15323457950800,410477000
14,permit,20,Ex7d,15323458057100,15323818313500,360256400
15,permit,20,Ex7d,15323818361800,15324185390100,367028300
16,permit,20,Ex7d,15324185484400,15324539034700,353550300
17,permit,20,Ex7d,15324539082700,15324914222600,375139900
18,permit,20,Ex7d,15324914275100,15325294527300,380252200
19,permit,20,Ex7d,15325294573100,15325691956300,397383200
20,permit,20,Ex7d,15325692004900,15326051090000,359085100
21,permit,20,Ex7d,15326051143000,15326404795500,353652500
22,permit,20,Ex7d,15326404845500,15326859232000,454386500
23,permit,20,Ex7d,15326859349200,15327264937000,405587800
24,permit,20,Ex7d,15327265057500,15327656340600,391283100
25,permit,20,Ex7d,15327656427900,15328002860100,346432200
1,permit,50,Ex7d,15328002939600,15328802951700,800012100
2,permit,50,Ex7d,15328803005000,15329695301000,892296000
3,permit,50,Ex7d,15329695417800,15330551026700,855608900
4,permit,50,Ex7d,15330551142200,15331359606100,808463900
5,permit,50,Ex7d,15331359653200,15332107393900,747740700
6,permit,50,Ex7d,15332107443000,15333069357100,961914100
7,permit,50,Ex7d,15333069457900,15333856165200,786707300
8,permit,50,Ex7d,15333856216200,15334603040400,746824200
9,permit,50,Ex7d,15334603128900,15335575913400,972784500
10,permit,50,Ex7d,15335576025200,15336360217100,784191900
11,permit,50,Ex7d,15336360264400,15337150113300,789848900
12,permit,50,Ex7d,15337150163500,15338064165800,914002300
13,permit,50,Ex7d,15338064281500,15338959463400,895181900
14,permit,50,Ex7d,15338959579500,15339758908100,799328600
15,permit,50,Ex7d,15339758959100,15340612091800,853132700
16,permit,50,Ex7d,15340612141900,15341517418500,905276600
17,permit,50,Ex7d,15341517571600,15342343522800,825951200
18,permit,50,Ex7d,15342343573800,15343142477600,798903800
19,permit,50,Ex7d,15343142532100,15344060028600,917496500
20,permit,50,Ex7d,15344060134400,15344854300400,794166000
21,permit,50,Ex7d,15344854397700,15345644295900,789898200
22,permit,50,Ex7d,15345644349000,15346397071500,752722500
23,permit,50,Ex7d,15346397118600,15347341976400,944857800
24,permit,50,Ex7d,15347342127500,15348148261500,806134000
25,permit,50,Ex7d,15348148309700,15348895673500,747363800
1,permit,100,Ex7d,15348895779200,15350559153600,1663374400
2,permit,100,Ex7d,15350559269000,15352104670400,1545401400
3,permit,100,Ex7d,15352104725500,15353793992800,1689267300
4,permit,100,Ex7d,15353794096300,15355420574300,1626478000
5,permit,100,Ex7d,15355420627400,15357101350900,1680723500
6,permit,100,Ex7d,15357101460800,15358553239300,1451778500
7,permit,100,Ex7d,15358553290000,15360234293800,1681003800
8,permit,100,Ex7d,15360234392500,15361776463200,1542070700
9,permit,100,Ex7d,15361776580900,15363433880200,1657299300
10,permit,100,Ex7d,15363434034800,15365064734600,1630699800
11,permit,100,Ex7d,15365064853700,15366667868200,1603014500
12,permit,100,Ex7d,15366667982200,15368309870400,1641888200
13,permit,100,Ex7d,15368309976400,15369912781000,1602804600
14,permit,100,Ex7d,15369912892900,15371536201900,1623309000
15,permit,100,Ex7d,15371536306000,15373051170400,1514864400
16,permit,100,Ex7d,15373051224400,15374687534600,1636310200
17,permit,100,Ex7d,15374687655800,15376250434800,1562779000
